h,G,Nm,chi,mag,C,m1,m2,m3,m4,m5,m6,m7
0.0,2.5310242593070167,0.0,2.1483262547413694e-18,2.001224982811625e-09,4.989491208238521e-07,0.00016244343041119344,5.741316112006995e-06,4.579934949360865e-06,1.0425929730590649e-07,9.431374869371323e-08,8.985844348137282e-08,1.9694105575489334e-07
0.005,2.5481554651181586,8.0,6.50275065865226e-05,0.0031813962298749866,1.5297432708377967,0.15308897255253237,0.15308916470781794,0.15306486206961098,0.007763922815353754,0.007763897705107093,0.007763490188926369,0.007763346742911855
0.01,2.548208487029888,8.0,0.0001298505573549798,0.006361739963009202,1.5297661652684258,0.1530949427093276,0.1530948488920095,0.15299948561828255,0.007761758986695771,0.007761702815366802,0.007759638295237801,0.007759655285394641
0.015,2.548296845480424,8.0,0.00019431457234247892,0.009542538936135528,1.5297894495160633,0.153104871311922,0.15310477751530255,0.15289023206582977,0.007758158628434753,0.007758100000100244,0.007753417526967567,0.007753160536021524
0.02,2.5484205535640774,8.0,0.0002590894072700416,0.012724554905939723,1.5297587533216854,0.15311862619937008,0.15311866215776873,0.15273686613397888,0.007753075537787157,0.007753256323706554,0.00774446000706465,0.007744475251761468
0.025,2.5485796145108903,8.0,0.0003227222300437655,0.015906776838719185,1.5297480631520954,0.15313634004620505,0.15313640574559406,0.15253969964763356,0.007746608238656001,0.007746621904336895,0.007732883969058139,0.007733228561582094
0.03,2.5487740414484406,8.0,0.0003864355684115817,0.019089470799630366,1.5296686128116015,0.15315795203721372,0.15315788335558098,0.15229848590960762,0.007738850330732079,0.007738486000060918,0.00771919913938918,0.007719016521746863
0.035,2.549003841384137,8.0,0.0004491132745459623,0.022272477119236835,1.529623371923472,0.1531835777697585,0.15318355976093367,0.152012732915172,0.007729208721069608,0.007729156750218605,0.007702730019969689,0.007702681580701744
0.04,2.549269030079299,8.0,0.0005117177148405239,0.025459981293361324,1.5296278329544228,0.1532129170236188,0.15321290008866556,0.1516826722045375,0.0077185224039199975,0.007718388614856018,0.007683740103682459,0.007683710222858681
0.045,2.5495696142326025,8.0,0.0005733504838441414,0.028646548442583922,1.529587844798754,0.15324618066608645,0.15324605825638332,0.1513078214471396,0.007705729791997522,0.007705820519117287,0.0076621864081217435,0.007662141467934309
0.05,2.5499056105145854,8.0,0.000634151323405184,0.03183515048240865,1.5295615486820637,0.15328316650373952,0.15328288487624084,0.150888019117334,0.007691640137429199,0.007691694454257042,0.007637919022778732,0.007638116226597693
0.055,2.5502770296558874,8.0,0.0006939126003172858,0.03502233729675371,1.5295862197734522,0.15332364174610777,0.15332362059954383,0.15042275311858713,0.007676419254031011,0.007676306384651094,0.007611120141835511,0.007611135716587645
0.06,2.5506839069873943,8.0,0.0007517589371079795,0.038212703982935255,1.529427392699484,0.15336778908770196,0.15336778374881382,0.1499120689980557,0.007659387266647587,0.007659409938776391,0.007581923829382843,0.007581951387048513
0.065,2.5511262468592917,8.0,0.0008108363969223307,0.04140882745586033,1.5293787572538236,0.15341576858573036,0.1534156687134834,0.14935519025672817,0.007640790730577069,0.007640681157520168,0.007549875205065184,0.00754983541696874
0.07,2.5516040801828628,8.0,0.0008662889212387079,0.04460159383971925,1.5294350569935722,0.15346690931109386,0.15346716818760395,0.1487517645089461,0.007620330629109743,0.007620396552858158,0.007515190761183358,0.007515259682273726
0.075,2.5521174287317754,8.0,0.0009212156612489128,0.04779819328988087,1.5294610943603695,0.15352182116269558,0.15352191442094995,0.14810154886535307,0.007598581561889742,0.007598369415824118,0.007478057680694269,0.007478198178000823
0.08,2.552666317149192,8.0,0.0009741568727020316,0.050998291194337714,1.5291698775694134,0.15358003394506847,0.1535800519907448,0.14740383300053356,0.007574769374655576,0.007574937450605578,0.007438254280120938,0.007438251518755842
0.085,2.553250771075812,8.0,0.001026521799898107,0.05420173433962347,1.5290425961487253,0.15364145307190205,0.15364151780565374,0.14665797698654257,0.007549325294948808,0.007549652421083616,0.007395656199358957,0.007395659086090284
0.09,2.55387082662952,8.0,0.001076392263526261,0.05740754080726847,1.5291972764423165,0.15370606157682887,0.15370628487503588,0.14586363663343513,0.007522432236876065,0.00752237009564804,0.007349996118715578,0.007350022074952167
0.095,2.554526501040796,8.0,0.0011243006092142892,0.060611527854118094,1.529128603340233,0.1537739231132072,0.1537738504583084,0.14501995390120462,0.0074933443296236754,0.007493292202775438,0.0073022493787725665,0.007302084799455759
0.1,2.5552178409813116,8.0,0.0011708772391099305,0.06382507848850456,1.5289870328384254,0.15384467126823337,0.1538445196671606,0.14412621041010495,0.007462662428183209,0.007462574498308411,0.007251266235202741,0.007251382590798745
0.105,2.555944876435491,8.0,0.0012154445822480176,0.06704318061287112,1.5288238136025831,0.15391833191865104,0.15391838241904232,0.14318156442803107,0.007429705770238632,0.007429616134278598,0.007197367781306714,0.007197474506228057
0.11,2.5567076398186295,8.0,0.001256979904388326,0.07025655591025917,1.528784871880344,0.15399476095535822,0.15399486889306474,0.14218525433188992,0.007394825550891003,0.0073950503028629095,0.0071408103727648815,0.007140963476333277
0.115,2.5575061719876904,8.0,0.0012978697310089325,0.07347796347946867,1.5285742546171828,0.15407397735068218,0.154073904260867,0.14113653892601952,0.007357817962093187,0.0073581419632913585,0.007081477050095309,0.007081627040649009
0.12,2.558340515022783,8.0,0.001336007543440002,0.07670558284579941,1.5286222399359672,0.1541556382164844,0.1541555342662795,0.14003416310300668,0.007319176800402613,0.007318974200914461,0.007019145207199294,0.007018906922781964
0.125,2.5592107087876053,8.0,0.0013709692902766665,0.07993273123986004,1.5284038101396127,0.15423965274302448,0.15423976690560476,0.13887689641583453,0.0072776591440908665,0.007277636107516381,0.0069538594400965145,0.00695378170625718
0.13,2.5601167943026533,8.0,0.0014043290587438808,0.08316451130682626,1.528444032164674,0.1543260211205976,0.1543260447419294,0.1376640594418929,0.007234003626914224,0.007234115987052792,0.006885711313093388,0.00688557582735764
0.135,2.561058824282826,8.0,0.0014341068439593311,0.0864017992795483,1.5283053402165292,0.15441448225482002,0.1544145575405195,0.13639400821329192,0.007188135364916323,0.007187967632092343,0.0068143929449560065,0.006814360647292069
0.14,2.562036833337703,8.0,0.0014610370629300788,0.08964066410618954,1.528255505788379,0.15450501400275085,0.15450492767599788,0.1350655028395785,0.007139680818394318,0.007139723403602006,0.006740017196604177,0.00673995156072777
0.145,2.563050879908597,8.0,0.001485847700830503,0.09288973013516381,1.5280872773467644,0.15459740708967223,0.15459728664926722,0.13367680599375115,0.007088511743706218,0.0070885695217198195,0.00666238274512107,0.006662501158582359
0.15,2.564101016690956,8.0,0.0015073025328260932,0.09613669703455119,1.5279643322904761,0.15469130121642932,0.15469143547411923,0.13222681374354614,0.007034709000336892,0.007034445947094462,0.006581614122535199,0.006581764590116694
0.155,2.565187291719232,8.0,0.0015252027178595331,0.0993946002126538,1.5279085937892032,0.15478666759345508,0.15478666095834145,0.13071341650235738,0.006977643285265539,0.006977892596024671,0.006497638926573757,0.006497672831527908
0.16,2.5663097552178114,8.0,0.0015408143875742298,0.1026507959910782,1.5277813886267477,0.15488345123659414,0.1548834595272827,0.12913466301717447,0.006918011122384697,0.0069180429339645196,0.006410730131080656,0.0064105799613851586
0.165,2.567468470273576,8.0,0.0015524810764567594,0.10591653933644102,1.5276435118245189,0.15498131180909275,0.15498133462468264,0.12748837612111955,0.006854909719526333,0.0068550105507831265,0.006320060232570521,0.006320042897038235
0.17,2.568663494414224,8.0,0.0015602527222112208,0.1091890239039528,1.5274479465006048,0.15508026129075056,0.15508020042606258,0.12577269441732475,0.006788438824716744,0.006788485786272593,0.006225681701192596,0.006225870536797944
0.17500000000000002,2.569894883430624,8.0,0.0015644374038655436,0.11246270071479939,1.5280883829203866,0.15517970000260892,0.15517973807866323,0.1239846558826726,0.006718262037218813,0.006718508084538784,0.006128064547568342,0.006128341407103508
0.18,2.5711626974830266,8.0,0.0015652699790506311,0.11574401686138841,1.5273416235923807,0.15527974814202058,0.15527985411223555,0.12212148213934931,0.006644765450701504,0.006644599790697485,0.006026732904135738,0.006026769625286125
0.185,2.572467007422536,8.0,0.0015612711244405524,0.11903405682975562,1.528131616562081,0.15538018869443182,0.15538015047541656,0.12018034197005442,0.006566658152463162,0.00656644807942214,0.0059218194958445824,0.005921893254772699
0.19,2.5738078752790026,10.0,0.0015541503106722087,0.12232635690837051,,0.15548058773267978,0.15548068803854956,0.11815753270724225,0.0064843178042880145,0.0064843004838522076,0.005812857875090679,0.005812827698110562
0.195,2.575185364667402,10.0,0.0015431272792381739,0.12562632206995344,1.5258742291229948,0.15558091068221877,0.15558098485367589,0.11604959546152402,0.006397546787767982,0.006397282948433971,0.005699858756766482,0.005699897064635724
0.2,2.5765995464286107,8.0,0.0015271962404477893,0.12892870636722975,1.526173488524643,0.15568072556969847,0.1556808835789142,0.11385191477924772,0.006305340048280037,0.006305420584158397,0.005582520272572595,0.005582524472022846
0.20500000000000002,2.578050491287932,10.0,0.0015064547530988896,0.13224429264864926,,0.15578017934458172,0.1557800909996128,0.11155985355729173,0.006208311432092712,0.006208290685798007,0.005460977681185494,0.00546091580440777
0.21,2.579538273278987,8.0,0.001482787719359584,0.13556084023309717,,0.15587825243941214,0.15587832690201817,0.10916825626891241,0.0061052252477200065,0.006105355821159167,0.005334774127396545,0.005334773916844734
0.215,2.581062963323226,6.0,0.0014526140565827292,0.13888818942258496,1.5264413670590498,0.15597561116143996,0.1559757328342064,0.10667047508783802,0.00599615447412235,0.005996198085395659,0.005203716012720321,0.005203748193190535
0.22,2.582624639879473,4.0,0.0014182544596572835,0.14221903847912643,1.5253657749510972,0.1560712135692979,0.15607129209742895,0.10405994611398486,0.00588007257674921,0.005880077124537448,0.005067663803274615,0.005067815566237045
0.225,2.584223379953087,4.0,0.0013795088462528016,0.1455556907614502,,0.1561652755452569,0.156165204658296,0.10132830450054323,0.00575662378342064,0.005756480493310071,0.004926416083913389,0.0049261624340640395
0.23,2.585859261290657,6.0,0.001335493273263586,0.14890246983481792,1.5251022410173454,0.15625723045823703,0.15625728293401367,0.09846622928752646,0.005625190292376858,0.005625244511036294,0.004778893918434213,0.004778672251325011
0.23500000000000001,2.5875323673144446,6.0,0.00128566467176109,0.15225802975874675,1.5259917290787115,0.15634687942261938,0.15634679770964077,0.09546314470872821,0.005484698169690129,0.005484707132844533,0.004625103806827241,0.004625110275095311
0.24,2.589242781302166,4.0,0.0012307836174738755,0.15562053184540375,1.5264494850522337,0.1564337638651926,0.15643383275777395,0.09230569851326978,0.00533401950325272,0.005333975351150328,0.004464487677878254,0.004464528113697422
0.245,2.590990582999395,4.0,0.001170620912034946,0.1589878101719049,1.5257414678487569,0.15651798921263144,0.15651790958190828,0.08897781732186244,0.005172518794399224,0.005172523129816861,0.004296595936592396,0.004296257513148363
0.25,2.5927758645727637,6.0,0.0011050313489900116,0.16236772261124827,1.524175560176283,0.1565986138387883,0.15659858444361477,0.08546204761933138,0.004998552395590822,0.004998629288033546,0.004120021014654206,0.0041200158794076425
0.255,2.5945987110993367,4.0,0.0010334688143155291,0.16574748295283023,1.5259037408555525,0.1566756598245798,0.15667575133206868,0.08173356648138912,0.004810663947168366,0.004810676439971478,0.003934104971404843,0.003934008871837347
0.26,2.596459215775022,4.0,0.0009563693771676148,0.16914360153335833,1.525199661577048,0.15674893146899502,0.1567488491157865,0.07776325598381266,0.004606382073966184,0.004606125780827422,0.0037373339167750086,0.0037373603313223813
0.265,2.598357461485772,4.0,0.0008737193068215948,0.1725473229992852,1.5248381226459842,0.15681791301539202,0.15681794520247697,0.07351226965893176,0.00438311711291866,0.004383111858418038,0.0035278855395343535,0.003527826574613178
0.27,2.60029354952041,4.0,0.0007848321544004382,0.1759551880204398,1.5246777258784288,0.15688219998916134,0.1568821363061767,0.06893199341523072,0.004137576389600702,0.004137566292195558,0.003303418829338192,0.0033035649387914996
0.275,2.602267577884092,4.0,0.0006894938815691833,0.17937332047806467,1.5250668087141428,0.15694139716009417,0.15694137045237744,0.06395188906529928,0.003864651228704228,0.0038648981661419213,0.0030611431591854033,0.003060947820520925
0.28,2.6042796288967205,4.0,0.0005881597085496692,0.18279901128474263,1.5242656156301895,0.15699499234745515,0.15699534864881945,0.05847154043880346,0.0035583203850112054,0.003558316866922534,0.002795571246926831,0.0027952445593083567
0.28500000000000003,2.606329813977996,4.0,0.00048115106830669697,0.18623561179175335,1.5237527283790477,0.15704332125811357,0.15704324244022408,0.05233539176078182,0.0032075662681340317,0.0032075335314522076,0.00249942779728564,0.0024997023927783805
0.29,2.6084182263475153,4.0,0.00036717843050480375,0.1896792397994207,1.523777791363659,0.15708537442358655,0.15708527924557572,0.045278498943275625,0.0027952495914770367,0.0027951736111881086,0.0021603580845129095,0.0021604993717581214
0.295,2.610544970525316,4.0,0.0002470402879895313,0.19313741911202006,1.5242000557848105,0.15712085802043205,0.15712080799532427,0.036780245273771314,0.002287253465852533,0.0022873579114568512,0.0017537238973311757,0.0017536599277409575
0.3,2.6127101452186854,4.0,0.00012045314591484968,0.19660017900570537,1.5234233891805309,0.15714937910671972,0.15714924896859742,0.025436671713316237,0.0015937806331285697,0.0015936784658570268,0.0012123037348889683,0.001212187760285139
0.305,2.6149138540843517,0.0,4.215082746392047e-09,0.20006275937155715,1.4514915112249087,0.1570768196514793,0.1570768919692629,0.00015125487303545228,9.606506561367076e-06,9.291011129015118e-06,7.119408248922463e-06,7.04731183900874e-06
0.31,2.6171554792605454,0.0,2.6048561528750475e-11,0.2034328357615171,1.450430991514942,0.15608084633617952,0.1560807140713351,1.8217480230869908e-06,3.143883225395972e-07,3.079979191007564e-07,2.806448107590567e-07,3.7908885189829597e-07
0.315,2.6194345741227494,0.0,4.6655671967372216e-11,0.2068044231911217,1.4482530560149254,0.15506401551837212,0.15506401217769733,9.99315848470103e-07,2.715467380336039e-07,2.0748435284255814e-07,2.2986986785340973e-07,3.7446697055712757e-07
0.32,2.6217511757596856,0.0,2.646079168645167e-11,0.2101813742962905,1.4471991071448795,0.15402632295192598,0.154026414995744,3.7828226646548165e-07,1.8892611969058566e-07,2.9414844212421795e-07,3.0380020222447813e-07,3.192304696698077e-07
0.325,2.6241053117202946,0.0,3.4523033659419434e-11,0.2135608353459899,1.4463182046246386,0.15296753443526825,0.15296769243100164,5.436186263956089e-07,2.0437772294180328e-07,2.7209836314849154e-07,2.3223657524131589e-07,2.0635805278475848e-07
